,UKPRN,HE provider,Country of HE provider,Academic Year,Level of study,Female,Male,Other,% Female,% Male,% Other
218,10004180.0,The Manchester Metropolitan University,England,2018/19,All postgraduate,4350,2380,5,64.58797327394208,35.337787676317745,0.07423904974016332
219,10004180.0,The Manchester Metropolitan University,England,2018/19,All undergraduate,15115,11195,5,57.43872316169485,42.54227626828805,0.019000570017100513
220,10004180.0,The Manchester Metropolitan University,England,2018/19,First degree,14770,11090,5,57.1041948579161,42.87647399961338,0.019331142470520007
221,10004180.0,The Manchester Metropolitan University,England,2018/19,Other undergraduate,340,105,0,76.40449438202246,23.595505617977526,0.0
222,10004180.0,The Manchester Metropolitan University,England,2018/19,Postgraduate (research),420,335,0,55.62913907284768,44.370860927152314,0.0
223,10004180.0,The Manchester Metropolitan University,England,2018/19,Postgraduate (taught),3930,2045,0,65.77405857740585,34.22594142259414,0.0
224,10004351.0,Middlesex University,England,2018/19,All,11660,7975,0,59.38375350140056,40.61624649859944,0.0
225,10004351.0,Middlesex University,England,2018/19,All postgraduate,2815,2050,0,57.8622816032888,42.13771839671121,0.0
226,10004351.0,Middlesex University,England,2018/19,All undergraduate,8840,5925,0,59.87131730443617,40.12868269556383,0.0
227,10004351.0,Middlesex University,England,2018/19,First degree,8285,5765,0,58.96797153024911,41.03202846975089,0.0
228,10004351.0,Middlesex University,England,2018/19,Other undergraduate,555,155,0,78.16901408450704,21.830985915492956,0.0
